title,desc,company,location,skills
Cloud DevOps ,,"Deltek, Inc.",Remote ,"[{'Python': 'programming language'}, {'Big data': 'paradigm '}, {'Linux': 'operating system'}, {'C': 'programming language'}]"
DevOps,,Azenta,Massachusetts ,"[{'PHP': 'programming language'}, {'DevOps': 'IT'}, {'Python': 'programming language'}, {'AWS': 'cloud'}, {'Linux': 'operating system'}, {'Windows': 'operating system'}, {'C': 'programming language'}]"
ship - Software Release and DevOps Engineer - Flexible Start,,Dassault Systèmes,Waltham ,"[{'Azure': 'cloud'}, {'DevOps': 'IT'}, {'SQL': 'DataBase'}, {'C': 'programming language'}, {'C#': 'programming language'}, {'.NET': 'Back-end development'}, {'PHP': 'programming language'}]"
Infrastructure and DevOps Engineering ,,Intel,Hillsboro ,"[{'DevOps': 'IT'}, {'Agile': 'project management'}, {'Python': 'programming language'}, {'Linux': 'operating system'}, {'Windows': 'operating system'}, {'C': 'programming language'}, {'Go': 'programming language'}, {'GitHub': 'Technology'}, {'JSON': 'Technology'}, {'Git': 'Technology'}, {'Docker': 'Technology'}, {'Kubernetes': 'Technology'}, {'Jira': 'Technology'}]"
Infrastructure DevOps Solution Architect  - Summer 2022,,NVIDIA,California ,"[{'DevOps': 'IT'}, {'Docker': 'Technology'}, {'Python': 'programming language'}, {'C': 'programming language'}, {'Kubernetes': 'Technology'}]"
DevOps ,,M1 Holdings,Chicago ,"[{'DevOps': 'IT'}, {'Kubernetes': 'Technology'}, {'AWS': 'cloud'}, {'C': 'programming language'}]"
DevOps,,Spirent Communications,San Jose +1 location,"[{'Git': 'Technology'}, {'Go': 'programming language'}, {'DevOps': 'IT'}, {'Python': 'programming language'}, {'AWS': 'cloud'}, {'Linux': 'operating system'}, {'C': 'programming language'}, {'Docker': 'Technology'}, {'Kubernetes': 'Technology'}]"
DevOps ,,AppLovin,Palo Alto ,"[{'Azure': 'cloud'}, {'DevOps': 'IT'}, {'Python': 'programming language'}, {'AWS': 'cloud'}, {'Linux': 'operating system'}, {'C': 'programming language'}, {'Go': 'programming language'}, {'Docker': 'Technology'}, {'Kubernetes': 'Technology'}]"
Infrastructure and DevOps Engineer ,,Intel,Atlanta ,"[{'DevOps': 'IT'}, {'C': 'programming language'}, {'Go': 'programming language'}]"
DevOps ,,Copart,Dallas ,"[{'DevOps': 'IT'}, {'Agile': 'project management'}, {'Windows': 'operating system'}, {'Python': 'programming language'}, {'Linux': 'operating system'}, {'C': 'programming language'}]"
